,0
2392,495600
2393,495650
2394,495710
2395,495001
2396,495110
2397,495130
2398,495170
2399,495250
2400,495260
2401,495300
2402,495350
2403,926029
2404,926110
2405,926291
2406,926207
2407,925161
2408,933100
2409,925802
2410,925894
2411,926418
2412,926014
2413,925046
2414,396005
2415,396003
2416,399001
2417,399002
2418,396002
2419,399009
2420,399003
2421,396006
2422,399004
2423,399005
2424,396004
2425,396001
2426,399008
2427,399007
2428,947101
2429,951100
2430,926404
2431,910902
2432,942100
2433,963101
2434,926467
2435,926479
2436,926469
2437,926472
2438,926498
2439,926509
2440,926247
2441,925156
2442,926678
2443,926343
2444,135182
2445,135337
2446,135100
2447,925610
2448,925990
2449,925880
2450,926704
2451,926162
2452,926331
2453,926332
2454,926333
2455,926330
2456,155020
2457,150247
2458,155909
2459,155902
2460,926118
2461,110268
2462,135457
2463,135284
2464,135115
2465,135458
2466,135586
2467,135596
2468,135045
2469,135587
2470,135629
2471,135626
2472,135305
2473,135325
2474,135141
2475,135265
2476,135315
2477,135291
2478,135285
2479,135192
2480,135170
2481,135209
2482,135605
2483,135345
2484,135108
2485,135294
2486,135123
2487,135226
2488,135176
2489,135158
2490,135253
2491,424001
2492,343046
2493,420027
2494,925667
2495,925114
